Date,Open,High,Low,Close,Adj Close,Volume
2002-12-06,7.8,8.64,7.78,8.58,5.67059,27551000
2002-12-09,8.54,8.56,8.228,8.404,5.554268,3149500
2002-12-10,8.41,8.66,8.33,8.55,5.6507629999999995,1723000
2002-12-11,8.54,9.1,8.46,9.012,5.956104,2549000
2002-12-12,9.012,9.012,8.72,8.782,5.804094,1355500
2002-12-13,8.782,8.794,8.65,8.73,5.769725,987500
2002-12-16,8.7,8.75,8.59,8.62,5.697026,798000
2002-12-17,8.6,8.8,8.56,8.654,5.719498000000001,1646000
2002-12-18,8.64,8.64,8.51,8.534,5.640186,742000
2002-12-19,8.51,8.54,8.434,8.46,5.59128,684000
2002-12-20,8.48,8.92,8.4,8.89,5.875471,904500
2002-12-23,8.87,8.91,8.67,8.68,5.736680000000001,638500
2002-12-24,8.72,8.72,8.592,8.61,5.690416,218000
2002-12-26,8.62,8.63,8.51,8.52,5.630936,325000
2002-12-27,8.5,8.5,8.35,8.4,5.551622,830500
2002-12-30,8.46,8.57,8.42,8.464,5.593922,1076500
2002-12-31,8.454,8.76,8.454,8.732,5.771047,1778000
2003-01-02,8.732,8.79,8.69,8.744,5.778981,315000
2003-01-03,8.744,9.16,8.704,9.16,6.053915,861500
2003-01-06,9.006,9.67,9.006,9.62,6.357932,1874500
2003-01-07,9.6,9.72,9.45,9.604,6.34736,1383000
2003-01-08,9.606,9.654,9.534,9.602,6.346035,411000
2003-01-09,9.62,9.84,9.532,9.81,6.483509,649000
2003-01-10,9.77,9.87,9.742,9.798,6.4755720000000005,844000
2003-01-13,9.8,9.936,9.774,9.924,6.558847999999999,810000
2003-01-14,9.924,10.0,9.814,9.82,6.490116,554000
2003-01-15,9.68,9.68,9.352,9.41,6.219144,1459000
2003-01-16,9.4,9.4,9.054,9.076,5.998398,725000
2003-01-17,9.05,9.104,8.96,9.004,5.950813,590500
2003-01-21,9.01,9.04,8.852,8.89,5.875471,468000
2003-01-22,8.86,8.88,8.82,8.83,5.835814,163500
2003-01-23,8.84,9.15,8.826,9.086,6.005008999999999,476000
2003-01-24,9.07,9.42,9.0,9.398,6.211215,685000
2003-01-27,9.358,9.38,9.24,9.25,6.113398999999999,209000
2003-01-28,9.26,9.316,9.2,9.202,6.081673,364500
2003-01-29,9.18,9.4,9.152,9.3,6.146444,401500
2003-01-30,9.3,9.318,8.76,8.84,5.842427,735000
2003-01-31,8.8,8.81,8.402,8.5,5.617716000000001,2886000
2003-02-03,8.49,8.58,8.432,8.47,5.597887999999999,780000
2003-02-04,8.44,8.44,8.31,8.4,5.551622,740000
2003-02-05,8.39,8.4,8.27,8.348,5.517261,1159000
2003-02-06,8.34,8.404,8.29,8.3,5.485535,1077500
2003-02-07,8.32,8.43,8.31,8.422,5.566165,744500
2003-02-10,8.422,8.68,8.41,8.6,5.683808999999999,278500
2003-02-11,8.6,8.706,8.58,8.582,5.67191,222500
2003-02-12,8.55,8.59,8.496,8.582,5.67191,355500
2003-02-13,8.57,8.744,8.564,8.7,5.749898,265500
2003-02-14,8.74,8.96,8.74,8.9,5.882077,958000
2003-02-18,8.95,8.96,8.83,8.904,5.884723,753500
2003-02-19,8.906,9.0,8.88,8.954,5.9177669999999996,420500
2003-02-20,8.96,9.02,8.94,9.006,5.952135,159000
2003-02-21,9.008,9.132,9.0,9.072,5.995755,206000
2003-02-24,9.0,9.16,9.0,9.108,6.019549,182500
2003-02-25,9.1,9.16,9.07,9.144,6.04334,144500
2003-02-26,9.148,9.2,9.02,9.068,5.993113,214000
2003-02-27,9.048,9.05,8.66,8.66,5.723461,945000
2003-02-28,8.65,8.76,8.574,8.61,5.690416,565000
2003-03-03,8.612,8.712,8.6,8.626,5.700991,211000
2003-03-04,8.62,8.648,8.564,8.564,5.660016000000001,151000
2003-03-05,8.566,8.592,8.44,8.45,5.584672,269500
2003-03-06,8.422,8.53,8.422,8.468,5.615175,352500
2003-03-07,8.47,8.548,8.442,8.466,5.613846,175500
2003-03-10,8.456,8.532,8.454,8.472,5.617826,163000
2003-03-11,8.474,8.54,8.434,8.454,5.6058900000000005,104500
2003-03-12,8.48,8.51,8.38,8.476,5.620481,312000
2003-03-13,8.5,8.54,8.482,8.504,5.639046,204000
2003-03-14,8.5,8.68,8.5,8.64,5.729227,471500
2003-03-17,8.64,9.238,8.64,9.19,6.093935,607000
2003-03-18,9.194,9.366,9.14,9.21,6.107199,478500
2003-03-19,9.22,9.39,9.22,9.39,6.22656,149500
2003-03-20,9.392,9.392,9.11,9.11,6.040883999999999,571000
2003-03-21,9.14,9.426,9.14,9.42,6.246449,632500
2003-03-24,9.4,9.642,9.346,9.6,6.365807,1112000
2003-03-25,9.59,9.71,9.59,9.686,6.422834,545500
2003-03-26,9.68,9.782,9.68,9.7,6.432117,1076000
2003-03-27,9.68,9.78,9.56,9.78,6.485168,777500
2003-03-28,9.76,9.76,9.68,9.73,6.452013,306500
2003-03-31,9.71,9.71,9.552,9.63,6.385701,435000
2003-04-01,9.632,9.638,9.516,9.594,6.361833,232000
2003-04-02,9.474,9.66,9.446,9.632,6.3870309999999995,536000
2003-04-03,9.64,9.84,9.64,9.656,6.402941,633000
2003-04-04,9.67,9.76,9.652,9.68,6.418857,321500
2003-04-07,9.74,9.77,9.334,9.34,6.193402,1109500
2003-04-08,9.32,9.354,9.23,9.292,6.1615720000000005,398000
2003-04-09,9.31,9.38,9.25,9.35,6.200034,390000
2003-04-10,9.36,9.43,9.31,9.424,6.249103,224500
2003-04-11,9.44,9.44,9.326,9.354,6.202684,178500
2003-04-14,9.354,9.52,9.34,9.502,6.300822,212500
2003-04-15,9.494,9.534,9.486,9.5,6.299497,198500
2003-04-16,9.51,9.582,9.504,9.522,6.314088,280000
2003-04-17,9.722,9.934,9.708,9.808,6.503733,1067500
2003-04-21,9.768,9.778,9.654,9.744,6.461297,243500
2003-04-22,9.802,10.11,9.636,9.958,6.6032020000000005,1607000
2003-04-23,10.058,10.25,10.0,10.1,6.697361,1540000
2003-04-24,10.1,10.32,10.1,10.32,6.843244,644000
2003-04-25,10.32,10.54,10.32,10.49,6.955971000000001,905000
2003-04-28,10.53,11.238,10.53,11.08,7.347205000000001,2717500
2003-04-29,11.082,11.224,10.956,11.13,7.380358,1455000
2003-04-30,11.12,11.35,11.024,11.308,7.49839,885500
2003-05-01,11.308,11.36,11.156,11.156,7.397601,1156500
2003-05-02,11.13,11.498,11.13,11.4,7.5593960000000004,740500
2003-05-05,11.41,11.6,11.332,11.36,7.532875,693000
2003-05-06,11.36,11.36,11.206,11.3,7.493089,661000
2003-05-07,11.26,11.32,11.06,11.12,7.37373,704500
2003-05-08,11.08,11.116,10.99,11.076,7.344552,707000
2003-05-09,11.1,11.26,11.01,11.144,7.389646000000001,461000
2003-05-12,11.13,11.45,11.1,11.34,7.5196130000000005,457500
2003-05-13,11.32,11.8,11.32,11.72,7.771592,1083500
2003-05-14,11.708,11.848,11.668,11.698,7.757,763000
2003-05-15,11.69,11.774,11.64,11.724,7.774245,279500
2003-05-16,11.714,12.0,11.62,12.0,7.957260000000001,498000
2003-05-19,11.88,11.898,11.674,11.71,7.76496,547500
2003-05-20,11.69,11.86,11.69,11.708,7.763634,461500
2003-05-21,11.69,11.84,11.612,11.834,7.8471839999999995,355000
2003-05-22,11.884,12.04,11.86,11.94,7.917474,583000
2003-05-23,11.95,12.046,11.944,12.036,7.98113,161000
2003-05-27,11.93,11.93,11.84,11.906,7.894928999999999,409000
2003-05-28,11.906,12.13,11.906,12.09,8.016944,506500
2003-05-29,12.09,12.124,11.974,12.048,7.989089999999999,856500
2003-05-30,12.048,12.36,12.04,12.296,8.153542,820000
2003-06-02,12.31,12.556,12.31,12.41,8.229135000000001,704500
2003-06-03,12.37,12.51,12.37,12.464,8.264942,741000
2003-06-04,12.47,12.692,12.464,12.64,8.381649000000001,547000
2003-06-05,12.64,12.722,12.57,12.602,8.356449000000001,363000
2003-06-06,12.574,12.574,12.2,12.2,8.107896,1028000
2003-06-09,12.17,12.438,12.156,12.4,8.240812,1836500
2003-06-10,12.41,12.55,12.356,12.44,8.267396000000002,1206000
2003-06-11,12.42,12.512,12.42,12.47,8.287336,1197500
2003-06-12,12.5,12.9,12.458,12.828,8.525253999999999,999000
2003-06-13,12.828,12.96,12.828,12.904,8.57576,723500
2003-06-16,12.94,13.17,12.94,13.124,8.721969,1098500
2003-06-17,13.154,13.9,13.14,13.88,9.224397,2332000
2003-06-18,13.86,13.982,13.71,13.92,9.250978,2033500
2003-06-19,13.92,14.0,13.526,13.6,9.038312,4392500
2003-06-20,13.63,13.638,13.21,13.254,8.808363,2196000
2003-06-23,13.25,13.27,13.056,13.202,8.773807000000001,1210000
2003-06-24,13.202,13.78,13.202,13.694,9.10078,1717500
2003-06-25,13.696,13.696,13.4,13.402,8.906725,988000
2003-06-26,13.41,13.836,13.41,13.83,9.191166,887500
2003-06-27,13.75,13.92,13.724,13.92,9.250978,1059500
2003-06-30,13.94,14.008,13.852,13.926,9.254963,1994000
2003-07-01,14.04,14.96,14.0,14.914,9.911572,4302500
2003-07-02,14.914,14.93,14.632,14.93,9.922205,1524500
2003-07-03,14.8,14.82,14.624,14.77,9.815872,1028000
2003-07-07,14.84,14.896,14.76,14.85,9.869038,640000
2003-07-08,14.82,15.17,14.814,14.882,9.890307,1011000
2003-07-09,14.87,15.364,14.87,15.304,10.170758,824000
2003-07-10,15.3,15.5,15.16,15.5,10.301018,1142000
2003-07-11,15.55,15.616,15.016,15.142,10.063097,801000
2003-07-14,15.19,15.56,15.19,15.47,10.281079,703000
2003-07-15,15.52,15.64,15.426,15.566,10.344877,801000
2003-07-16,15.58,15.596,15.23,15.3,10.168097999999999,616000
