Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,7.0625,7.4375,6.9375,7.0,4.790874,240000
2000-01-04,6.75,6.875,6.625,6.875,4.705321,393600
2000-01-05,6.875,6.875,6.6875,6.8125,4.662547,138500
2000-01-06,6.9375,6.9375,6.75,6.9375,4.748099,184900
2000-01-07,7.0,7.0,6.625,6.625,4.534221,1886200
2000-01-10,6.75,7.1875,6.6875,7.0625,4.83365,519900
2000-01-11,7.0625,7.0625,6.8125,6.875,4.705321,153700
2000-01-12,6.8125,6.8125,6.6875,6.8125,4.662547,1544900
2000-01-13,6.8125,7.0,6.4375,6.6875,4.576996,823100
2000-01-14,6.75,6.75,6.5,6.5,4.448668,462600
2000-01-18,6.5625,6.75,6.5625,6.75,4.619772,732400
2000-01-19,6.625,6.75,6.5625,6.6875,4.576996,337500
2000-01-20,6.625,6.6875,6.5625,6.6875,4.576996,313700
2000-01-21,6.625,6.75,6.5,6.5625,4.491445,589900
2000-01-24,6.5,6.5,6.375,6.375,4.363119,483900
2000-01-25,6.5,7.0,6.4375,6.5,4.448668,4488000
2000-01-26,6.5,6.75,6.4375,6.4375,4.405893,735700
2000-01-27,6.4375,6.5625,6.4375,6.4375,4.405893,1071200
2000-01-28,6.4375,6.4375,5.875,5.9375,4.063686,2029500
2000-01-31,5.9375,6.0,5.625,6.0,4.106464,1365100
2000-02-01,6.0625,6.4375,6.0625,6.375,4.363119,377700
2000-02-02,6.25,6.4375,6.0625,6.4375,4.405893,879500
2000-02-03,6.5,6.5625,6.0625,6.0625,4.14924,540600
2000-02-04,6.125,6.25,5.9375,6.1875,4.23479,1520000
2000-02-07,6.0625,6.25,6.0625,6.125,4.192012,226800
2000-02-08,6.25,6.375,5.875,6.0625,4.14924,904700
2000-02-09,5.875,5.9375,5.5625,5.6875,3.892585,1506600
2000-02-10,5.6875,5.8125,5.1875,5.75,3.9353620000000005,1204100
2000-02-11,5.75,6.25,5.625,6.0625,4.14924,445900
2000-02-14,6.0,6.0625,5.8125,6.0,4.106464,273500
